Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2025-02-19,Darkest Hour,2017,https://boxd.it/8SA2Ad,3.5,,,2025-02-18
2025-05-08,Adolescence,2025,https://boxd.it/9Dyk7x,4.5,,,2025-04-05
2025-04-14,Mrs.,2023,https://boxd.it/9oH2uh,3.5,,,2025-04-13
2025-04-14,Godzilla Minus One,2023,https://boxd.it/9oJZHX,4.5,,"gojira, action, netflix, godzilla",2025-04-13
2025-04-14,The Big Short,2015,https://boxd.it/9phvT3,3.5,,,2025-04-14
2025-04-18,The Hangover Part II,2011,https://boxd.it/9qZc0b,3,,,2025-04-17
2025-04-25,It's Such a Beautiful Day,2012,https://boxd.it/9vAYTt,5,,,2025-04-24
2025-04-27,Conclave,2024,https://boxd.it/9wMv4z,3.5,,,2025-04-26
2025-04-27,John Wick,2014,https://boxd.it/9x9ALJ,4,,"action, johnwick",2025-04-27
2025-04-29,John Wick: Chapter 2,2017,https://boxd.it/9xW2Gj,3.5,,,2025-04-28
2025-04-29,John Wick: Chapter 3 – Parabellum,2019,https://boxd.it/9xY8ST,4,,"action, johnwick, thriller",2025-04-28
2025-04-29,John Wick: Chapter 4,2023,https://boxd.it/9y2XjN,4,,,2025-04-28
2025-05-01,The Matrix,1999,https://boxd.it/9yU9tB,4.5,,,2025-04-30
2025-05-02,The Matrix Reloaded,2003,https://boxd.it/9zrqSp,3.5,,,2025-05-01
2025-05-02,The Matrix Revolutions,2003,https://boxd.it/9ztwu3,3.5,,,2025-05-01
2025-05-02,The Matrix Resurrections,2021,https://boxd.it/9zxdsF,3,,,2025-05-01
2025-05-03,Transformers,2007,https://boxd.it/9AAc0l,3,Yes,,2025-05-03
2025-05-04,Transformers: Revenge of the Fallen,2009,https://boxd.it/9AGlah,2,Yes,,2025-05-03
2025-05-04,Transformers: Dark of the Moon,2011,https://boxd.it/9AJsfJ,3,Yes,,2025-05-03
2025-05-04,Transformers: Age of Extinction,2014,https://boxd.it/9ALXHD,2,Yes,,2025-05-03
2025-05-04,Transformers: The Last Knight,2017,https://boxd.it/9AOxcF,1.5,Yes,"transformers, action",2025-05-03
2025-05-05,The Bourne Identity,2002,https://boxd.it/9C2zj1,4,,,2025-05-05
2025-05-06,The Bourne Supremacy,2004,https://boxd.it/9CcCLd,3.5,,,2025-05-05
2025-05-08,The Bourne Ultimatum,2007,https://boxd.it/9Dc8yn,4,,,2025-05-07
2025-05-08,The Bourne Legacy,2012,https://boxd.it/9Dgv1p,2.5,,,2025-05-07
2025-05-08,Jason Bourne,2016,https://boxd.it/9DiERX,2.5,,,2025-05-07
2025-05-08,Thunderbolts*,2025,https://boxd.it/9DiKRf,3.5,,"marvel, action, superhero, thunderbolts, thenewavengers, mcu",2025-05-07
2025-05-08,Mission: Impossible,1996,https://boxd.it/9DBPwJ,4,,,2025-05-08
2025-05-09,Mission: Impossible II,2000,https://boxd.it/9DFzQV,3,,,2025-05-08
2025-05-09,Mission: Impossible III,2006,https://boxd.it/9DJIPZ,3.5,,,2025-05-08
2025-05-09,Mission: Impossible – Ghost Protocol,2011,https://boxd.it/9DNLGz,4,,,2025-05-08
2025-05-09,Mission: Impossible – Rogue Nation,2015,https://boxd.it/9E3z9l,4,,,2025-05-09
2025-05-09,Mission: Impossible – Fallout,2018,https://boxd.it/9E5bev,4.5,,,2025-05-09
2025-05-10,Mission: Impossible – Dead Reckoning,2023,https://boxd.it/9Ecesp,3.5,,,2025-05-09
2025-05-10,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/9EBK3r,5,,,2025-05-10
2025-05-11,The Substance,2024,https://boxd.it/9ETb2f,4.5,,"mubi, horror, bodyhorror, thesusbstance",2025-05-10
2025-05-11,Jaggi,2022,https://boxd.it/9FciNl,4,,,2025-05-11
2025-05-11,Shiva Baby,2020,https://boxd.it/9FdV2l,3.5,,,2025-05-11
2025-05-12,Chungking Express,1994,https://boxd.it/9Fyk0J,5,,,2025-05-11
2025-05-12,Heretic,2024,https://boxd.it/9FWQGF,3.5,,,2025-05-12
2025-05-13,Men in Black,1997,https://boxd.it/9G818r,4,Yes,,2025-05-12
2025-05-13,Men in Black II,2002,https://boxd.it/9GanEN,3,Yes,,2025-05-12
2025-05-13,Men in Black 3,2012,https://boxd.it/9Gc5gH,3.5,Yes,,2025-05-13
2025-05-13,Men in Black: International,2019,https://boxd.it/9GsmP7,1.5,,,2025-05-13
2025-05-13,Flow,2024,https://boxd.it/9Guc6l,4.5,,"cat, cartoon, animated, flow, primevideo, oscars",2025-05-13
2025-05-14,My Mother's Girlfriend,2021,https://boxd.it/9GDRbz,3.5,,,2025-05-13
2025-05-14,Aftersun,2022,https://boxd.it/9GZlGz,5,,,2025-05-14
2025-05-15,Grand Theft Hamlet,2024,https://boxd.it/9H4msD,3,,,2025-05-14
2025-05-15,Eraserhead,1977,https://boxd.it/9HwaBJ,4,,,2025-05-15
2025-05-16,Attack on Titan The Final Chapters: Special 1,2023,https://boxd.it/9HCm7N,5,Yes,,2025-05-15
2025-05-16,Attack on Titan The Final Chapters: Special 2,2023,https://boxd.it/9HCyD7,5,Yes,,2025-05-15
2025-05-16,Wolfs,2024,https://boxd.it/9HISsv,3,,,2025-05-16
2025-05-16,Ocean's Eleven,2001,https://boxd.it/9HYVg5,4,,,2025-05-16
2025-05-17,Ocean's Twelve,2004,https://boxd.it/9I523f,3,,"oceanseleven, oceanstwelve, thriller, robbery, artwork, egg",2025-05-16
2025-05-17,Ocean's Thirteen,2007,https://boxd.it/9I8bVh,3.5,,,2025-05-16
2025-05-17,Ocean's Eight,2018,https://boxd.it/9IaxdZ,2.5,,,2025-05-16
2025-05-17,Ted,2012,https://boxd.it/9Iwr9h,3,,,2025-05-17
2025-05-17,Ted 2,2015,https://boxd.it/9Iy1e5,3,,,2025-05-17
2025-05-18,Perfect Days,2023,https://boxd.it/9ILKHx,5,,,2025-05-17
2025-05-18,Sinners,2025,https://boxd.it/9JeXn9,4.5,,,2025-05-18
2025-05-22,Hiroshima Mon Amour,1959,https://boxd.it/9L8mUV,4,,,2025-05-21
2025-05-24,Shin Godzilla,2016,https://boxd.it/9MItUT,3.5,,,2025-05-24
2025-05-24,Pacific Rim,2013,https://boxd.it/9MKQIP,3.5,,,2025-05-24
2025-05-24,Pacific Rim: Uprising,2018,https://boxd.it/9MM5S3,1,,,2025-05-24
2025-05-25,Cloverfield,2008,https://boxd.it/9Nuz3d,3.5,,,2025-05-25
2025-05-26,Kong: Skull Island,2017,https://boxd.it/9ObW7j,3.5,,,2025-05-26
2025-05-26,Godzilla,2014,https://boxd.it/9OfqxH,3.5,,,2025-05-26
2025-05-26,Godzilla: King of the Monsters,2019,https://boxd.it/9OhBu9,4,,,2025-05-26
2025-05-27,Godzilla vs. Kong,2021,https://boxd.it/9Onegl,3,,,2025-05-26
2025-05-27,Godzilla × Kong: The New Empire,2024,https://boxd.it/9Os7Lh,3,,,2025-05-26
2025-05-31,The Ugly Stepsister,2025,https://boxd.it/9QOtTz,3,,,2025-05-30
2025-06-03,Boyhood,2014,https://boxd.it/9SLOjT,5,,,2025-06-02
2025-06-05,A Complete Unknown,2024,https://boxd.it/9TYMRp,3.5,,,2025-06-04
2025-06-05,Arrival,2016,https://boxd.it/9U42yj,4.5,,,2025-06-04
2025-06-06,Sinners,2025,https://boxd.it/9UCGbd,5,Yes,,2025-06-05
2025-06-09,This Is Not a Film,2011,https://boxd.it/9WYbmh,4,,,2025-06-09
2025-06-10,Memories of Murder,2003,https://boxd.it/9XbaOb,5,,,2025-06-09
2025-06-11,Cha Cha Real Smooth,2022,https://boxd.it/9Y8wDH,4,,,2025-06-11
2025-06-11,Ghost Rider,2007,https://boxd.it/9YbvOF,1.5,,,2025-06-11
2025-06-12,Ghost Rider: Spirit of Vengeance,2011,https://boxd.it/9YmGQz,0.5,,,2025-06-11
2025-06-13,Constantine,2005,https://boxd.it/9ZeF2r,3.5,,,2025-06-13
2025-06-13,Echo Valley,2025,https://boxd.it/9Zixfb,2.5,,,2025-06-13
2025-06-14,Daredevil,2003,https://boxd.it/9ZT8nN,2.5,,,2025-06-14
2025-06-14,Elektra,2005,https://boxd.it/9ZUW7x,1,,,2025-06-14
2025-06-15,The Punisher,2004,https://boxd.it/a0buZb,3,,,2025-06-14
2025-06-15,Punisher: War Zone,2008,https://boxd.it/a0yySJ,3,,,2025-06-15
2025-06-16,Catwoman,2004,https://boxd.it/a1no9r,1,,,2025-06-16
2025-06-18,Watchmen,2009,https://boxd.it/a2cAvB,4,,,2025-06-17
2025-06-23,American History X,1998,https://boxd.it/a5VfQZ,4.5,,,2025-06-23
2025-06-24,War of the Worlds,2005,https://boxd.it/a63Xdj,3.5,,,2025-06-23
2025-06-27,F1,2025,https://boxd.it/a8uJ6P,4,,"formula1, appletv, bradpitt, f1movie",2025-06-27
2025-07-08,Superman,1978,https://boxd.it/afwRUv,4,,,2025-07-07
2025-07-09,Superman II,1980,https://boxd.it/aghxYr,3,,,2025-07-08
2025-07-09,Superman III,1983,https://boxd.it/agLL3J,2.5,,,2025-07-09
2025-07-10,Superman IV: The Quest for Peace,1987,https://boxd.it/ahsOSh,1.5,,,2025-07-10
2025-07-11,Superman Returns,2006,https://boxd.it/ahyK3h,3,,,2025-07-10
2025-07-11,Man of Steel,2013,https://boxd.it/ahB9cR,2.5,,,2025-07-10
2025-07-11,Batman v Superman: Dawn of Justice,2016,https://boxd.it/ahJf6r,2,,,2025-07-10
2025-07-12,Superman,2025,https://boxd.it/aimZad,4,,"superman, superhero, comicmovie, action, adventure, drama",2025-07-11
2025-07-13,Elephant,2003,https://boxd.it/ajH57D,3,,,2025-07-13
2025-07-13,The Suicide Squad,2021,https://boxd.it/ajL0rL,4,,,2025-07-13
2025-07-17,Superman,2025,https://boxd.it/amfl5p,4,Yes,,2025-07-16
2025-07-17,Jurassic Park,1993,https://boxd.it/amhdCp,4.5,,,2025-07-16
2025-07-20,Superman,2025,https://boxd.it/aoXlWJ,4,Yes,,2025-07-20
2025-07-25,Fantastic Four,2005,https://boxd.it/asywsB,3,,,2025-07-24
2025-07-26,Fantastic Four: Rise of the Silver Surfer,2007,https://boxd.it/atksld,2.5,,,2025-07-25
2025-07-26,Fantastic Four,2015,https://boxd.it/atnPv7,1,,,2025-07-25
2025-07-27,The Fantastic 4: First Steps,2025,https://boxd.it/au2yov,4,,,2025-07-26
2025-08-03,Sitaare Zameen Par,2025,https://boxd.it/aAE4xx,3,,,2025-08-03
2025-08-04,Sinners,2025,https://boxd.it/aAS0YH,5,Yes,,2025-08-03
2025-08-06,Metro... In Dino,2025,https://boxd.it/aCv0uz,3,,,2025-08-05
2025-08-16,Jurassic World Rebirth,2025,https://boxd.it/aKt8bj,2,,,2025-08-16
2025-08-17,Tehran,2025,https://boxd.it/aLmuMh,3,,,2025-08-17
2025-08-24,Mission: Impossible – The Final Reckoning,2025,https://boxd.it/aPLZJT,3.5,,,2025-08-23
2025-09-01,F1,2025,https://boxd.it/aVWtd3,4,Yes,,2025-08-27
2025-10-21,The Silence of the Lambs,1991,https://boxd.it/bqWOgr,4.5,,,2025-10-20
2025-10-21,A Clockwork Orange,1971,https://boxd.it/br26Pp,4,,,2025-10-20
2025-10-26,Memento,2000,https://boxd.it/buc9iZ,4,,,2025-10-25
2025-10-26,Fallen Angels,1995,https://boxd.it/buGH77,4.5,,,2025-10-26
2025-10-30,In the Mood for Love,2000,https://boxd.it/bx0oup,5,,,2025-10-29
2025-11-03,Go Goa Gone,2013,https://boxd.it/bzYOZL,4,Yes,,2025-11-02
2025-11-06,Beautiful Boy,2018,https://boxd.it/bC04Kd,4.5,,,2025-11-05
2025-11-07,The Perfect Neighbor,2025,https://boxd.it/bCx419,3.5,,,2025-11-07
2025-11-09,Udaan,2010,https://boxd.it/bEvTkb,4.5,,,2025-11-09
2025-11-10,The Iron Giant,1999,https://boxd.it/bECZCf,5,,,2025-11-09
2025-11-12,12 Angry Men,1957,https://boxd.it/bGdKyv,5,,,2025-11-11
2025-11-12,Weapons,2025,https://boxd.it/bGJHHX,3.5,,,2025-11-12
2025-11-13,Monsoon Wedding,2001,https://boxd.it/bGRKl7,4,,,2025-11-12
2025-11-23,Constantine,2005,https://boxd.it/bNIJ95,3.5,Yes,,2025-11-22
2025-11-24,Homebound,2025,https://boxd.it/bOumSR,4,,,2025-11-23
2025-11-24,The Perks of Being a Wallflower,2012,https://boxd.it/bOyKyz,5,,,2025-11-23
2025-12-20,Dhurandhar,2025,https://boxd.it/c7j1jP,4,,,2025-12-19
2025-12-21,One Battle After Another,2025,https://boxd.it/c8g4Ep,5,,,2025-12-20
2025-12-25,The Florida Project,2017,https://boxd.it/cd4fP5,5,,,2025-12-24
2025-12-26,Frankenstein,2025,https://boxd.it/cdTU9r,5,,,2025-12-25
2025-12-26,Groundhog Day,1993,https://boxd.it/ce6q0l,3.5,,,2025-12-25
2025-12-26,How the Grinch Stole Christmas,2000,https://boxd.it/cehXHf,3,,,2025-12-25
2025-12-27,Baramulla,2025,https://boxd.it/cf6sQH,3,,,2025-12-26
2025-12-27,Nuremberg,2025,https://boxd.it/cgapVB,3.5,,,2025-12-27
2025-12-28,Nobody,2021,https://boxd.it/cgrH11,3.5,,,2025-12-27
2025-12-28,Nobody 2,2025,https://boxd.it/cgDpfN,2.5,,,2025-12-27
2025-12-30,Django Unchained,2012,https://boxd.it/ciOfl7,4.5,,,2025-12-29
2025-12-30,Raat Akeli Hai - The Bansal Murders,2025,https://boxd.it/cj6kLb,3,,,2025-12-29
2025-12-31,The 36th Chamber of Shaolin,1978,https://boxd.it/cklloV,4,,,2025-12-30
2026-01-02,"The Good, the Bad and the Ugly",1966,https://boxd.it/cmp3Nz,4.5,,,2025-12-31
2026-01-02,Stranger Things 5: The Finale,2025,https://boxd.it/cmGslp,3.5,,,2026-01-01
2026-01-03,Dhurandhar,2025,https://boxd.it/cnKi1L,4,Yes,,2026-01-02
2026-01-03,Badmaash Company,2010,https://boxd.it/co7rTX,3,,,2026-01-02
2026-01-25,The Secret Life of Walter Mitty,2013,https://boxd.it/cNzqrz,4.5,,,2026-01-24
2026-01-25,Life in a Metro,2007,https://boxd.it/cOy6MJ,3.5,,,2026-01-24
2026-01-26,The Diplomat,2025,https://boxd.it/cP4IXf,3,,,2026-01-25
2026-02-01,Peepli Live,2010,https://boxd.it/cV8JZt,4.5,,,2026-01-31
2026-02-03,The Zone of Interest,2023,https://boxd.it/cXwbZF,4,,,2026-02-02
2026-02-03,Chaar Phool Hain Aur Duniya Hai,2024,https://boxd.it/cXy51t,3.5,,,2026-02-02
2026-02-03,Kiss.,2022,https://boxd.it/cXzeRv,3.5,,,2026-02-02
2026-02-08,The Times of Harvey Milk,1984,https://boxd.it/d1WlvD,4,,,2026-02-07
2026-02-08,The Worst Person in the World,2021,https://boxd.it/d2H9an,4.5,,,2026-02-08
2026-02-14,Marty Supreme,2025,https://boxd.it/d6TH1p,4.5,,,2026-02-12
