Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2023-05-04,Ghosted,2023,https://boxd.it/4cvXDt,2.5,,wouldn't be surprised if michael bay was directing it.,"film, film2023, action, drama, chrisevans, anadearmas",2023-04-29
2023-05-04,The Gray Man,2022,https://boxd.it/4cvYZb,2.5,,"lost it's relevancy I'm 2 weeks, just mindless money spending with big directors.",,2022-07-23
2023-05-04,Interstellar,2014,https://boxd.it/4cw0HX,5,Yes,"black hole succ in man, man go fast. nolan is god.",,2023-05-03
2023-05-04,The Batman,2022,https://boxd.it/4cw1cB,4.5,,just plain batman fanservice.,,2022-03-16
2024-10-05,3 Idiots,2009,https://boxd.it/7tfrJp,5,Yes,"bahar se joy, andar se lobo.",,2024-09-30
2024-10-05,The Grand Budapest Hotel,2014,https://boxd.it/7tfzKl,4,,"nice comedy, nice cinematography, me likey things that are shiny and fancy.",,2023-05-26
2024-10-05,Pulp Fiction,1994,https://boxd.it/7tfDmn,4,,"alexa play ""Miserlou"" on loop, this movie is the embodiment of cultural impact.",,2023-06-03
2024-10-05,Dead Poets Society,1989,https://boxd.it/7tfJ95,5,,"a tale about symbolism and non conformity.
they presented to you all the facts that you, yourself
as the viewer can interpret in your unique ways.
Robin Williams' character was absolutely nailed
the symbolisms in each scene meant something
even in the most tragic moments.
they wanted the teacher to appear like a person who
can bring change, who can destroy the restricting
barriers and they made him.
the influence can even be felt with the watcher,
agreeing with whatever john keating says.
the characters of neil perry as well as todd anderson
played were absolutely brilliant and some of the
most well written in cinema.",,2023-06-02
2024-10-05,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/7tfMTb,4.5,,"one of the best spiderman movies ever made till date, just so awesome to see that the characters are so well written and the story is ever so compelling.",,2023-06-09
2024-10-05,La La Land,2016,https://boxd.it/7tfQu5,3.5,,"honestly better than the entirety of conjuring, and also most of stephen king's catalogue, in a league of it's own I must say.",,2023-06-16
2024-10-05,Straight Outta Compton,2015,https://boxd.it/7tfVsD,3,,"no vaseline is a VIOLATION of the law, alright.",,2023-06-30
2024-10-05,Sirf Ek Bandaa Kaafi Hai,2023,https://boxd.it/7tg10v,3,,"the kind of hindi movie i love, and oh such a good performance by manoj bajpayee. ",,2023-07-07
2024-10-05,Barbie,2023,https://boxd.it/7tg299,3.5,,"oooooooo pink, i like pink color.",,2023-07-29
2024-10-05,Oppenheimer,2023,https://boxd.it/7tg3U1,5,,"honestly so good, and was so worth the hype, I would glaze this movie SO hard and never would I ever cheat on this movie this is just downright the BEST of cinema at play.",,2023-07-30
2024-10-05,Masaan,2015,https://boxd.it/7tgdwt,4,,"guys, yeh dukh kahe khatam nahi hota hai?",,2023-08-19
2024-10-05,Fantastic Mr. Fox,2009,https://boxd.it/7tgf6H,2.5,,"wes anderson really said ""let's make a 150 mins long meme"".",,2023-08-26
2024-10-05,The Irishman,2019,https://boxd.it/7tgi87,4,,gang member 3 hour long feature film road trip!,,2023-08-26
2024-10-05,The Wind Rises,2013,https://boxd.it/7tgjE9,3.5,,never did i ever think that building a war machine could be this fun and aesthetic.,,2023-09-16
2024-10-05,Suzume,2022,https://boxd.it/7tgkC9,3,,so what? I'm a chair now?,,2023-09-16
2024-10-05,The Social Network,2010,https://boxd.it/7tgmqJ,4,,"it's kinda criminal how long i ignored this movie in my ever-so-long watchlist of a billion things, absolute classic.",,2023-11-25
2024-10-05,Whiplash,2014,https://boxd.it/7tgpmv,4,,"THIS MOVIE WAS MADE ABOUT THE HARMFUL NATURE OF OBSESSION, INSTAGRAM SHOULD NOT ROMANTISCIZE THIS AT ALL.",,2023-11-25
2024-10-05,Fight Club,1999,https://boxd.it/7tgqQh,4.5,,"""so umm, you sell soap?""
*where is my mind plays in the background*",,2023-12-09
2024-10-05,The Wonderful Story of Henry Sugar,2023,https://boxd.it/7tgsrD,3,,"this was just, so so fun ngl.",,2023-12-09
2024-10-05,Forrest Gump,1994,https://boxd.it/7tgudX,4,,bubba gump shrimping company can give me a good push to work that startup out with friends,,2024-05-25
2024-10-05,Top Gun: Maverick,2022,https://boxd.it/7tgwv5,3.5,,"HELL YEAH 'MURICA BABYYYYYYY 
*eagles screeching*
and a very old tom cruise.",,2023-12-30
2024-10-05,Gran Turismo,2023,https://boxd.it/7tgyaN,3,,cars go vrooooooooooooooom,,2024-01-24
2024-10-05,The Godfather,1972,https://boxd.it/7tgzP3,5,Yes,horse head on bed is peak cinema,,2024-04-06
2024-10-05,Air,2023,https://boxd.it/7tgC5H,4,,"i like how badly adidas tried to hide their ""history"".",,2024-04-09
2024-10-05,Her,2013,https://boxd.it/7tgEM9,4.5,,"man.
spike jonze really ghosted a girl for more than ten years? then replied with a depression pill? not even the one that cures it, the one that WORSENS it.",,2024-07-13
2024-10-05,(500) Days of Summer,2009,https://boxd.it/7tgGLx,3.5,,there's a 104 days of summer vacation,,2024-07-20
2024-10-05,Superbad,2007,https://boxd.it/7tgINZ,4,,"the PERFECT teen comedy, change my mind if you can.",,2024-07-25
2024-10-05,300,2006,https://boxd.it/7tgKcV,3,,THIS IS SPARTAAAAAA,,2024-07-30
2024-10-05,Lost Ladies,2023,https://boxd.it/7tgLcR,4,,honestly this is my comfort movie of the year,,2024-08-01
2024-10-05,Dallas Buyers Club,2013,https://boxd.it/7tgNyb,4.5,,"matthew mcconaughey is just so good, he is just so amazing, i just love that man",,2024-08-04
2024-10-05,2001: A Space Odyssey,1968,https://boxd.it/7tgPdp,4,,stanley kubrik what a visionary you are with this one,,2024-08-10
2024-10-05,Inglourious Basterds,2009,https://boxd.it/7tgQyD,4,,THIS IS SO UNSERIOUS AND FUN I JUST LOVE IT,,2024-08-15
2024-10-05,The Lighthouse,2019,https://boxd.it/7tgSnR,3.5,,"we do not talk about what ""substance"" fell onto robert's face when he was peeping.",,2024-08-16
2024-10-05,Argo,2012,https://boxd.it/7tgV2n,3.5,,ben affleck is a good actor for sure,,2024-08-10
2024-10-05,J. Edgar,2011,https://boxd.it/7tgY3X,2.5,,"this is very boring ngl, also why was he fruity?",,2024-08-20
2024-10-05,The Shawshank Redemption,1994,https://boxd.it/7tgZ51,5,Yes,kenshi was here.,,2024-08-20
2024-10-05,Aavesham,2024,https://boxd.it/7tuDo9,3.5,,"eda mone?
such good comedy, much wow.",,2024-09-01
2024-10-05,8 Mile,2002,https://boxd.it/7tuEuR,3,,"he said mom spaghetti, pfft ahhaahahahaha",,2024-09-02
2024-10-05,Uncharted,2022,https://boxd.it/7tuGj7,3,,"considering the bad rep hollywood has with adapting game franchises, this was a pretty good one.",,2024-09-05
2024-10-05,Blade Runner 2049,2017,https://boxd.it/7tuIdZ,4,,neon lights and depression.,,2024-09-05
2024-10-05,American Psycho,2000,https://boxd.it/7tuKBJ,3.5,,"this movie is VERY on the nose about the narcissism and the hating everyone thing, why do people misunderstand?",,2024-09-08
2024-10-05,Logan,2017,https://boxd.it/7tuN9N,4.5,,"one of, if not THE BEST. SUPERHERO. MOVIE. EVER. MADE.",,2024-07-25
2024-10-05,Deadpool & Wolverine,2024,https://boxd.it/7tuOPb,4.5,,they're gonna make him do this till he is NINETY!,,2024-07-26
2024-10-05,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/7tuQTp,4,,"after getting my faith restored in the mcu i decided to watch this, and man. it. is. sad. 
I LOVE YOU ROCKET",,2024-07-30
2024-10-05,Napoleon,2023,https://boxd.it/7tuTUb,2,,"ridley scott really looked at the length of this movie and said ""there is nothing we can do""
why is it so awful EVEN WITH JOAQUIN PHOENIX, which is a cheatcode.",,2024-08-08
2024-10-05,Sector 36,2024,https://boxd.it/7tuXF5,3.5,,"so dark, so gruesome, vikrant massey just NAILS it, what a movie man, loved it.",,2024-09-22
2024-10-06,Vivah,2006,https://boxd.it/7tH0UV,2,,WHY IS EVERYTHING ABOUT GETTING MARRIED THE ACTRESS GOT BURNED FOR FUCKS SAKE,,2024-09-09
2024-10-07,Swades,2004,https://boxd.it/7uIFk1,4.5,Yes,"i just love this, i can never hate this, this is so good, this is so amazing.
EVERYTHING about this movie SCREAMS nostalgia for me,",,2024-10-07
2024-10-12,Manchester by the Sea,2016,https://boxd.it/7wAHcb,4,,"didn't cry as much as I thought I would, but IT WAS SAD.",,2024-10-06
2024-10-15,Moneyball,2011,https://boxd.it/7yhRPR,4,,"engaging and fun, i love sports movies like these, just gets you in for the love of the game (even if i didn't know shit about baseball)",,2024-10-13
2024-10-15,Stree 2,2024,https://boxd.it/7yhTgJ,3,,"ENDGAME LEVEL UNIVERSE SAVING CROSSOVERS AND CAMEOS FRFR
also ""tu aayi nahi"" has some VERY questionable lyrics",,2024-10-13
2024-10-15,Good Will Hunting,1997,https://boxd.it/7yhUgv,4.5,,watching robin williams and his movies is almost better than getting therapy,,2024-10-13
2024-10-15,Zindagi Na Milegi Dobara,2011,https://boxd.it/7yhXjR,4,Yes,"""<i>Diamond biscuit! Diamond biscuit! Jab bhi mood ho kha lo!
Diamond biscuit! Diamond biscuit! Healthy swad ko pa lo!
Mummy papa jab bhi laate saare bachche khush ho jate!
Diamond biscuit! Diamond biscuit! Healthy swad ko pa loooooo
Diamond Biscuit - ab naye coconut flavour mein bhi</i>""
<b>genius</b>.
absolute <b>genius</b>.",,2024-10-14
2024-10-15,CTRL,2024,https://boxd.it/7yhYPT,3.5,,"this movie made me honestly remember all my irrational fears i had with AI and made them rational
if that even makes sense.","netflix, bollywood, hindi, AI, thriller",2024-10-14
2024-10-15,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/7yJhZx,4,,"i just assumed it would be <b>VERY</b> sad, but infact it was very fun and heartwarming I enjoyed it so much for real.",,2024-10-15
2024-10-16,Saving Private Ryan,1998,https://boxd.it/7yOu6l,4.5,,"it is one of the finest war movies ever made, shot so well, describes each and every aspect of war perfectly.
it is not nice to you, not nice at all, war is not nice to ANYONE, this movie gives the perfect blend of hope and brotherhood with the looming danger of the enemies for the soldiers travelling behind enemy lines.","primevideo, savingprivateryan, war, oscar, classic",2024-10-15
2024-10-16,Lost in Translation,2003,https://boxd.it/7zdFV5,3,,"i liked this movie, i loved how it portrays loneliness as something which can happen to anyone and anywhere.
i love how the characters and their stories intertwine, it's almost perfect and so lovely.
has a tinge of sadness to it, masked by all the humor and comedy, yet i disliked certain parts where there was a ""racist"" portrayal of japan.
tokyo or japan in general, with all it's ""cogs in a machine"" like work culture, is to be completely honest the perfect place to describe the life of a people who feel lonely/out of touch with the world.","prime, scarletjohanneson, comedy, sad, melancholic",2024-10-15
2024-10-16,Scott Pilgrim vs. the World,2010,https://boxd.it/7zdIFT,3.5,,"this movie is PEAK comedy, i fucking love this it is SO cool.
did scott really kill all those people though?","comedy, fun, laugh",2024-10-16
2024-10-17,About Time,2013,https://boxd.it/7zkXkv,3.5,,this is honestly so cute and amazing i loved it.,,2024-10-16
2024-10-17,Maharaja,2024,https://boxd.it/7zCSIX,4,,"this movie is one of those select few revenge stories that grips you, shatters you and breaks you multiple times to convey the reason.
vijay sethupati, with his long illustrious career has picked the perfect script and acted along perfectly to the story.
the story, seemingly normal at first, takes a dark and twisted turn as the film progresses, and the writing is utterly wonderful.","netflix, tamil, maharaja, thriller, mystery, crime",2024-10-17
2024-10-17,The Devil Wears Prada,2006,https://boxd.it/7zEwbh,3.5,,millions of women would kill to watch this movie,,2024-10-17
2024-10-18,Dune,2021,https://boxd.it/7zP8Nt,4,,"this is basically what the ""ancient aliens"" episode of god being an alien species was all about.","netflix, dune, timotheechalamet, zendaya, lisanalgaib, arrakis, action, adventure, scifi",2024-10-17
2024-10-18,Dune: Part Two,2024,https://boxd.it/7zPfuD,4.5,,"i actually liked this more than the first part, this is where jesus simulator got real. 
all i have is appreciation for everyone in this movie, it is just so good for real.","netflix, zendaya, timotheechalamet, dune, scifi, action, adventure",2024-10-18
2024-10-18,October,2018,https://boxd.it/7A4Feh,3.5,,"this movie is just hurts you, it's sad, and not in the ""fault in our stars"" lover is dying kind of way, rather it's about how a man's search for closure leads him to make sacrifices that he never thought he could.
and watching danish in this movie is painful, watching him worry and lose himself over a person who he felt he treated harshly, and regretted it is gut wrenching.
this movie is a melancholy.","primevideo, hindi, bollywood, varundhawan, melancholic",2024-10-18
2024-10-19,Anatomy of a Fall,2023,https://boxd.it/7Ac8RL,4,,"i mean, the movie is very sad and about death and all but, atleast it was ACTUALLY a sort-of anatomy of a 'fall', atleast they didn't lie in that department!
ALSO I LOVE SNOOP, BEST ACTOR. PERIOD.","primevideo, cannes, french, english, oscar, suspense, mystery",2024-10-18
2024-10-19,Aligarh,2016,https://boxd.it/7AfJaF,3.5,,"""tumhare generation ko har jagah bas label lagaane hain""
most of this film is just hard hitting quotables.","hindi, bollywood",2024-10-18
2024-10-20,Gravity,2013,https://boxd.it/7AEgSD,3.5,,"this movie is <b>MADE </b>for theatres only, i am sad I didn't get to experience it in one.
but oh man, it's so good.",,2024-10-19
2024-10-20,Little Miss Sunshine,2006,https://boxd.it/7AKLKd,4.5,,"the dance off in the end is one of the few times i have had so much fun while watching a movie. THIS IS AMAZING I LOVE IT.
p.s. love that dwayne's first words after months of silence were ""FUCK"", honestly same.","heartwarming, fun, lovely, comedy, drama, satire",2024-10-19
2024-10-20,Ford v Ferrari,2019,https://boxd.it/7AL4HH,5,,"i wanted to race cars after this, rather, i wanted to make cars after this.
this movie is just legendary.",,2023-10-01
2024-10-20,Immaculate,2024,https://boxd.it/7Ba4Xb,2,,"""i want to be a nun after watching immaculate!""
-said no one ever",,2024-10-20
2024-10-21,Nightcrawler,2014,https://boxd.it/7BlvE3,4,,"""video production news"" has to be one of the most generic and bland sounding names for a company ever.","crime, mystery, dark, night",2024-10-20
2024-10-22,Drive,2011,https://boxd.it/7BWy1H,4.5,,"i never thought that the man who invented driving, can also brutally beat people up and is ryan gosling! 
absolutely mind blowing!","primevideo, ryangosling, drive, thriller, classic, car, fast, vroom",2024-10-21
2024-10-23,Vadh,2022,https://boxd.it/7Cs8Gt,3,,"i love this movie and how it presents the words ""Kill"" and ""Vadh"" in a completely different sense.
i loved the performances and the movie itself was so fun.",,2024-10-22
2024-10-23,Nocturnal Animals,2016,https://boxd.it/7CsaLP,3,,"the entire movie was really unsettling, from the beginning to the end.",,2024-10-22
2024-10-23,The Intern,2015,https://boxd.it/7CuEgL,4,,this movie is exactly what i needed today HECK this movie is exactly what i need ANY day.,"netflix, robertdeniro, comedy, sliceoflife",2024-10-23
2024-10-23,The Imitation Game,2014,https://boxd.it/7CKhKl,4.5,,enforced my hatred for the british government even more,,2024-10-23
2024-10-24,Drive My Car,2021,https://boxd.it/7CW7nb,4.5,,"this whole movie is sad but also comforting, leaves you feeling more emotions than you thought you would.","mubi, melancholic, masterpiece",2024-10-24
2024-10-24,While We Watched,2022,https://boxd.it/7DbuvH,3.5,,"gives us quite an insight of what happened in the 2018-19 period, also on what was to come in the future.",,2024-10-24
2024-10-24,Legally Blonde,2001,https://boxd.it/7DdwPj,3.5,,so like delta nu is the blonde girls support group/cult?,,2024-10-24
2024-10-25,Transformers One,2024,https://boxd.it/7DiU4h,4.5,,i was fanboying during the ENTIRE duration of the movie. I LOVE IT.,"transformers, autobots, decepticons, action, adventure",2024-10-24
2024-10-25,Doraemon: Nobita and the New Steel Troops: Winged Angels,2011,https://boxd.it/7DEs2L,4.5,Yes,"this is <b>PEAK </b>fiction, I'm in <i>awe</i> of this and the amount of <i>impact</i> it had had on my childhood is insane.","anime, doraemon, action, adventure",2024-10-25
2024-10-26,Everything Everywhere All at Once,2022,https://boxd.it/7DHleB,4.5,,"two stones on a cliff! i wonder what they're thinking!
p.s. this was so lovely","action, adventure, scifi, drama, oscars",2024-10-25
2024-10-26,Bol Bachchan,2012,https://boxd.it/7DJy3v,2.5,,necessity is the keyhole to the mother of success.,,2024-10-25
2024-10-26,The Truman Show,1998,https://boxd.it/7DKORN,4.5,,christof walked so wanda could run.,,2023-12-15
2024-10-26,Rang De Basanti,2006,https://boxd.it/7DNjWD,4,,"an absolute cult classic, iconic and the WAY they switched from very lighthearted to DARK and TWISTED was amazing.
this film began as something and ended as something completely different.",,2024-10-25
2024-10-26,Shubh Mangal Zyada Saavdhan,2020,https://boxd.it/7DU5bx,4,,"homosexual ddlj, just with an established relationship.","primevideo, romance, drama, comedy",2024-10-26
2024-10-26,Kill Bill: Vol. 1,2003,https://boxd.it/7EcfxJ,4.5,,"you know the movie would bang HARD if a car named ""pussy wagon"" is introduced like 30 minutes in","action, comedy, adventure, drama, bloody",2024-10-26
2024-10-26,Kill Bill: Vol. 2,2004,https://boxd.it/7EcgQn,4.5,,so you mean bro got buried alive and DRILLED her way out because of kung-fu? FUCK YEAH.,"action, adventure, drama, bloody, comedy",2024-10-26
2024-10-27,Ta Ra Rum Pum,2007,https://boxd.it/7EpMLF,2.5,,"the movie starts off like ""vroom arrogant racing yeah"", in the middle it turns into ""sad melodramatic montage of rich spoilt people going poor"" then it came back to ""vroom non-arrogant racing yeah"", with a pinch of kalesh and a LOT of lying.","prime, racing, saifalikhan, drama",2024-10-27
2024-10-27,Rush Hour,1998,https://boxd.it/7EL3c5,3.5,,"this is what you call comedy, this is awesome.","christucker, jackiechan, action, comedy",2024-10-27
2024-10-28,Johnny English Reborn,2011,https://boxd.it/7ENuy7,3,,oh crikey,,2024-10-27
2024-10-28,Zombieland,2009,https://boxd.it/7ESwXt,3.5,,rule number 69: make the funniest zombie movie ever,"netflix, comedy, action, zombies, michaelcera",2024-10-27
2024-10-28,Zombieland: Double Tap,2019,https://boxd.it/7ESywT,3.5,,"rule number 420: bill fucking murray fighting zombies like a badass, gotta one of the most legendary end credits ever.",,2024-10-27
2024-10-28,Ace Ventura: Pet Detective,1994,https://boxd.it/7EUylF,2.5,,what did i just watch,,2024-10-27
2024-10-28,The Nightmare Before Christmas,1993,https://boxd.it/7EWD1p,4.5,,"no idea what all is happening for the most part but i ABSOLUTELY loved it, just so fun.","disney, musical, animated, halloween",2024-10-27
2024-10-29,Zoolander,2001,https://boxd.it/7FxTWF,3,,"watching david bowie randomly pop out is amazing and why is mobius there, like losing loki hurt him this bad?","netflix, comedy, slapstick, satire",2024-10-28
2024-10-30,Not Another Teen Movie,2001,https://boxd.it/7G1V8x,3,,"honestly, chris evans' best movie. NOBODY can top this.","comedy, satire, parody",2024-10-29
2024-10-31,Bottoms,2023,https://boxd.it/7GrMD9,4,,"i REALLY don't think american football works that way, i don't think they kill people.","primevideo, comedy, satire",2024-10-30
2024-10-31,Gifted,2017,https://boxd.it/7GukOp,4.5,,"i think this is amazing, not ""just"" amazing, this is a masterpiece.
i swear to god evelyn you will rot in hell for trying to get fred put away.","netflix, chrisevans, drama, sad",2024-10-30
2024-11-01,Anyone But You,2023,https://boxd.it/7GYPWJ,2.5,,"fight club: wedding edition, with words instead of punches.","netflix, drama, comedy, romance",2024-10-31
2024-11-01,The Hangover,2009,https://boxd.it/7H1ual,3.5,,znmd but if it happened in vegas and with a lot of ashleel things,,2024-10-31
2024-11-03,Transformers: Rise of the Beasts,2023,https://boxd.it/7I3eeT,2.5,,"sometimes you wish you could just switch off your brain and have fun, this is it.","netflix, transformers, action, adventure",2024-11-02
2024-11-04,Monkey Man,2024,https://boxd.it/7IKxgZ,4,,"some part i didn't quite like but overall, this movie was very fun, the action, the fights and everything was an absolute spectacle to watch.
dev patel has put up something which is quite awesome, and yeah i hope he does this again and brings this vibe back again.

P.S. never expected ""ooh la la"" to be the music for a fight scene lol","primevideo, action, revenge, adventure, bloody, dark",2024-11-03
2024-11-09,Go Goa Gone,2013,https://boxd.it/7L4U0j,3,,baba ji ki booti la la la la la la la,"comedy, zombie",2024-11-09
2024-11-09,Dev.D,2009,https://boxd.it/7Lloub,3.5,,dev having clown make up at a point is so bomb for real,,2024-11-09
2024-11-15,Look Back,2024,https://boxd.it/7O7PM1,4.5,,"I am in awe of the beauty this movie has, every single scene can be hung up in an art exhibition. This movie and the parrelisms it draws with the real world, the way it covers loss and grief is absolutely mind blowing.",,2024-11-14
2024-11-15,An Action Hero,2022,https://boxd.it/7O9LCv,3.5,,"this movie goes cray cray, and i do not even have a clue what's happening half the times BUT IT IS FUN. IT DOES NOT MAKE SENSE AND IT IS FUN.","netflix, comedy, dark, bollywood",2024-11-14
2024-11-23,Blackmail,2018,https://boxd.it/7S3uUr,3,,"got a little boring at times, but nonetheless, the gun selling scene was the best, that interaction is gold, the delivery everything was fine af",,2024-11-22
2024-11-23,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,https://boxd.it/7Sss3b,4,,borat pioneered shitting on trump way back in 2006!,"comedy, satire, borat, dark comedy",2024-11-23
2024-11-23,Borat Subsequent Moviefilm,2020,https://boxd.it/7SsE2f,3.5,,"the first movie, just with added cry cry and an extensive amount of rednecks","prime video, comedy, dark, satire, slapstick",2024-11-23
2024-11-25,Lucy,2014,https://boxd.it/7Tb1I7,2.5,,"speedrunning to become an usb flashdrive, any %","netflix, action",2024-11-24
2024-11-27,Kaalakaandi,2018,https://boxd.it/7UhSkX,2.5,,why this so weird dawg + wtf was even happening half the time,"hotstar, dark, comedy, mumbai",2024-11-26
2024-11-30,OMG: Oh My God!,2012,https://boxd.it/7VIlv7,3.5,,"this movie just works, and work it does oh so well. i just wish if akshay kumar just gave up his billion movies per year thing, he could churn out more good works like this.",,2024-11-29
2024-12-08,Vicky Vidya Ka Woh Wala Video,2024,https://boxd.it/7ZEE7r,2,,"this is VERY bollywood masala movie coded, one star for comic relief, one star for trying something.","netflix, comedy, bollywood, funny, hindi",2024-12-07
2024-12-22,Mere Brother Ki Dulhan,2011,https://boxd.it/879cbb,2.5,,"listened to ""isq risk"" once and i was like ""I HAVE TO WATCH IT AGAIN"".","comedy, romcom",2024-12-21
2024-12-23,The Namesake,2006,https://boxd.it/88kGvr,3.5,,"this movie shows how life in the states can be as difficult as it is (now more than ever) as an immigrant, how the fates align and how everything happens for a reason, It is just beautiful
rip irrfan, you were too good.",,2024-12-23
2024-12-24,Porco Rosso,1992,https://boxd.it/88Y099,4,,"""I'd rather be a pig than a fascist""
I saw this quote somewhere and decided i was going to watch this movie because honestly same.
the movie is so subtle in everything, Miyazaki gives us all the information hidden just in plain sight, ranging from the lives of pilots in WW1 to Porco regaining his faith in humanity and turning back into human.
this is awesome.","netflix, studioghibli",2024-12-24
2024-12-24,Yo Yo Honey Singh: Famous,2024,https://boxd.it/892RbZ,1.5,,"honestly, aside from the visuals and the cinematography which were alright, raj shamani's podcast or any other podcast with him yielded more things than this documentary, so yeah",,2024-12-24
